participant_id,Cognitive Reflection and Recognition of Political Bias,Skepticism of Data Veracity and Methodology,Affective Polarization and the National Political Climate,Study Usability and User Experience,Survey Participation and Engagement
69c02075081d66e66aed747f,0,0,0,0,0
69c036da081d66e66aed74f1,0,0,0,0,1
69c0380c081d66e66aed74fe,1,0,0,1,0
69c04506081d66e66aed754f,0,0,1,0,0
69c163c17ca2f407ddb7a813,0,0,0,0,1
69c2f2b194897af5fab34521,0,0,0,0,1
69c30d7894897af5fab34589,0,0,0,0,1
69c30eca94897af5fab34594,1,0,0,0,0
69c31b9c94897af5fab345fb,0,1,0,0,0
69c31df394897af5fab34616,1,0,0,0,0
69c3f4858a96c3717f23c078,1,0,0,1,0
69c586a9a185af81bac30266,0,0,0,0,1
69c58b64a185af81bac30280,0,0,0,0,1
